Date : 2024-01-19 23:52:43
Directory : e:\AndroidStudioProject\techcart\lib
Total : 91 files,  7262 codes, 48 comments, 663 blanks, all 7973 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         91 |      7,262 |         48 |        663 |      7,973 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |         91 |      7,262 |         48 |        663 |      7,973 |
| . (Files)                                                                                                            |          1 |         90 |          1 |          6 |         97 |
| repository                                                                                                           |         11 |        762 |          6 |        116 |        884 |
| repository (Files)                                                                                                   |          1 |        101 |          0 |         26 |        127 |
| repository\models                                                                                                    |          9 |        290 |          6 |         59 |        355 |
| repository\services                                                                                                  |          1 |        371 |          0 |         31 |        402 |
| shared                                                                                                               |         16 |      1,006 |         29 |        129 |      1,164 |
| shared (Files)                                                                                                       |          5 |        146 |          0 |         48 |        194 |
| shared\gen                                                                                                           |          2 |        114 |         28 |         29 |        171 |
| shared\router                                                                                                        |          2 |        259 |          0 |         23 |        282 |
| shared\widgets                                                                                                       |          7 |        487 |          1 |         29 |        517 |
| ui                                                                                                                   |         63 |      5,404 |         12 |        412 |      5,828 |
| ui\auth                                                                                                              |         15 |      1,208 |          5 |         89 |      1,302 |
| ui\auth\login                                                                                                        |          4 |        317 |          0 |         22 |        339 |
| ui\auth\login (Files)                                                                                                |          1 |        217 |          0 |          6 |        223 |
| ui\auth\login\cubit                                                                                                  |          2 |         59 |          0 |         12 |         71 |
| ui\auth\login\widgets                                                                                                |          1 |         41 |          0 |          4 |         45 |
| ui\auth\password_recovery                                                                                            |          3 |        185 |          1 |         19 |        205 |
| ui\auth\password_recovery (Files)                                                                                    |          1 |        151 |          1 |          6 |        158 |
| ui\auth\password_recovery\cubit                                                                                      |          2 |         34 |          0 |         13 |         47 |
| ui\auth\password_recovery_verification                                                                               |          2 |        202 |          1 |         11 |        214 |
| ui\auth\password_recovery_verification (Files)                                                                       |          1 |        161 |          1 |          7 |        169 |
| ui\auth\password_recovery_verification\widgets                                                                       |          1 |         41 |          0 |          4 |         45 |
| ui\auth\password_reset                                                                                               |          3 |        186 |          0 |         19 |        205 |
| ui\auth\password_reset (Files)                                                                                       |          1 |        155 |          0 |          8 |        163 |
| ui\auth\password_reset\cubit                                                                                         |          2 |         31 |          0 |         11 |         42 |
| ui\auth\signup                                                                                                       |          3 |        318 |          3 |         18 |        339 |
| ui\auth\signup (Files)                                                                                               |          1 |        282 |          3 |          6 |        291 |
| ui\auth\signup\cubit                                                                                                 |          2 |         36 |          0 |         12 |         48 |
| ui\cart                                                                                                              |          3 |        236 |          1 |         31 |        268 |
| ui\cart (Files)                                                                                                      |          1 |        123 |          0 |          4 |        127 |
| ui\cart\cubit                                                                                                        |          2 |        113 |          1 |         27 |        141 |
| ui\categories                                                                                                        |          4 |        117 |          0 |         18 |        135 |
| ui\categories (Files)                                                                                                |          2 |         88 |          0 |          6 |         94 |
| ui\categories\cubit                                                                                                  |          2 |         29 |          0 |         12 |         41 |
| ui\checkout                                                                                                          |          7 |        999 |          1 |         52 |      1,052 |
| ui\checkout (Files)                                                                                                  |          3 |        735 |          1 |         17 |        753 |
| ui\checkout\cubit                                                                                                    |          2 |         66 |          0 |         25 |         91 |
| ui\checkout\widgets                                                                                                  |          2 |        198 |          0 |         10 |        208 |
| ui\favortie                                                                                                          |          3 |        148 |          0 |         32 |        180 |
